Time (hours),Q_3,Q_31,Q_4,Q_5,Q_6,Q_7,Q_37,Q_36,Q_10,Q_11,Q_15,Q_38,Q_18,Q_39,Q_17,Q_33,Q_40,Q_34,Q_19,Q_16,Q_41,Q_13,Q_22,Q_23,Q_25,Q_27,Q_28,Q_26,Q_24,Q_21,Q_29,Q_35,Q_30,Q_20,Q_14,Q_12,Q_9,Q_8,Q_1,Q_32,Q_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.17,0.0001,0.0001,0,0,0.0001,0,0,0,0,0.0001,0,0,0,0.0001,0.0002,0,0.0001,0.0001,0,0,0,0.0001,0.0001,0.0001,0,0.0001,0.0001,0,0,0.0001,0,0,0,0.0001,0.0001,0,0,0,0,0,0
0.25,0.0003,0.0004,0.0002,0.0001,0.0005,0,0,0.0001,0.0001,0.0005,0.0003,0.0001,0.0001,0.0003,0.0005,0.0001,0.0002,0.0005,0.0001,0.0001,0.0002,0.0005,0.0004,0.0005,0.0001,0.0003,0.0004,0.0001,0.0002,0.0007,0.0001,0.0001,0,0.0009,0.0006,0.0001,0,0,0,0,0.0002
0.33,0.0007,0.0009,0.0007,0.0002,0.0011,0,0,0.0002,0.0003,0.0011,0.0006,0.0002,0.0002,0.0005,0.001,0.0003,0.0004,0.001,0.0004,0.0003,0.0004,0.001,0.0007,0.0011,0.0003,0.0006,0.0009,0.0002,0.0005,0.0016,0.0002,0.0005,0,0.0022,0.0014,0.0002,0.0001,0,0,0.0001,0.0007
0.42,0.0011,0.0016,0.0013,0.0004,0.0017,0.0001,0.0001,0.0003,0.0006,0.0019,0.0011,0.0004,0.0004,0.0009,0.0016,0.0005,0.0007,0.0016,0.0009,0.0006,0.0007,0.0018,0.0011,0.0018,0.0004,0.001,0.0014,0.0003,0.0008,0.0028,0.0004,0.001,0.0001,0.0039,0.0024,0.0004,0.0002,0.0001,0.0001,0.0001,0.0016
0.5,0.0017,0.0024,0.002,0.0007,0.0025,0.0001,0.0001,0.0005,0.0011,0.0029,0.0016,0.0007,0.0006,0.0012,0.0023,0.0007,0.001,0.0023,0.0016,0.001,0.001,0.0026,0.0016,0.0027,0.0006,0.0014,0.0021,0.0004,0.0012,0.0042,0.0006,0.0018,0.0002,0.0059,0.0037,0.0007,0.0003,0.0002,0.0002,0.0002,0.0027
0.58,0.0023,0.0033,0.0029,0.0009,0.0034,0.0002,0.0001,0.0006,0.0017,0.0039,0.0022,0.001,0.0009,0.0016,0.0031,0.001,0.0013,0.0031,0.0025,0.0014,0.0014,0.0036,0.0021,0.0037,0.0009,0.002,0.0028,0.0006,0.0017,0.0058,0.0009,0.0026,0.0003,0.0083,0.0051,0.001,0.0005,0.0003,0.0003,0.0003,0.004
0.67,0.0029,0.0043,0.0039,0.0012,0.0044,0.0003,0.0002,0.0008,0.0024,0.0051,0.0029,0.0014,0.0011,0.0021,0.0039,0.0013,0.0017,0.0039,0.0036,0.0019,0.0019,0.0047,0.0027,0.0047,0.0011,0.0025,0.0036,0.0007,0.0022,0.0075,0.0011,0.0036,0.0006,0.0109,0.0066,0.0013,0.0008,0.0005,0.0005,0.0003,0.0055
0.75,0.0037,0.0054,0.005,0.0016,0.0055,0.0004,0.0003,0.001,0.0031,0.0064,0.0036,0.0017,0.0014,0.0026,0.0048,0.0016,0.0021,0.0049,0.0047,0.0025,0.0023,0.0059,0.0033,0.0059,0.0013,0.0032,0.0044,0.0009,0.0027,0.0094,0.0014,0.0047,0.0009,0.0138,0.0083,0.0017,0.0011,0.0008,0.0008,0.0004,0.0072
0.83,0.0045,0.0066,0.0061,0.0019,0.0066,0.0005,0.0003,0.0013,0.004,0.0078,0.0044,0.0022,0.0018,0.0031,0.0057,0.0019,0.0025,0.0058,0.006,0.0031,0.0028,0.0071,0.004,0.0071,0.0016,0.0038,0.0053,0.0011,0.0033,0.0114,0.0017,0.0059,0.0012,0.0168,0.0101,0.0021,0.0015,0.0011,0.0012,0.0005,0.0089
0.92,0.0053,0.0079,0.0074,0.0023,0.0078,0.0006,0.0004,0.0015,0.0049,0.0093,0.0052,0.0026,0.0021,0.0036,0.0066,0.0023,0.003,0.0069,0.0073,0.0037,0.0034,0.0085,0.0047,0.0083,0.0019,0.0045,0.0062,0.0012,0.004,0.0135,0.0021,0.0072,0.0016,0.02,0.012,0.0025,0.0019,0.0014,0.0016,0.0007,0.0108
1,0.0061,0.0092,0.0087,0.0027,0.009,0.0007,0.0005,0.0018,0.0058,0.0108,0.0061,0.0031,0.0025,0.0041,0.0076,0.0027,0.0035,0.0079,0.0088,0.0044,0.0039,0.0098,0.0054,0.0096,0.0022,0.0053,0.0072,0.0014,0.0046,0.0156,0.0024,0.0086,0.002,0.0234,0.0139,0.003,0.0024,0.0018,0.0021,0.0008,0.0128
1.08,0.0071,0.0107,0.0102,0.0032,0.0104,0.0008,0.0005,0.002,0.0068,0.0125,0.0071,0.0036,0.0029,0.0048,0.0088,0.0032,0.004,0.0092,0.0103,0.0052,0.0046,0.0114,0.0063,0.0112,0.0026,0.0061,0.0084,0.0017,0.0054,0.0181,0.0028,0.0102,0.0025,0.0271,0.0162,0.0035,0.0028,0.0022,0.0026,0.0009,0.0149
1.17,0.0097,0.0141,0.013,0.0041,0.0145,0.001,0.0007,0.0027,0.0085,0.0167,0.0094,0.0046,0.0038,0.007,0.0128,0.0042,0.0059,0.0132,0.0128,0.0065,0.0062,0.0153,0.0091,0.0155,0.0038,0.0086,0.012,0.0025,0.0072,0.0241,0.0038,0.0128,0.0032,0.0351,0.0213,0.0045,0.0035,0.0028,0.0033,0.0012,0.0185
1.25,0.0137,0.0199,0.0178,0.0058,0.0202,0.0013,0.0009,0.0038,0.011,0.0235,0.0133,0.0063,0.0054,0.0096,0.0174,0.006,0.0081,0.0182,0.0165,0.0086,0.0088,0.0216,0.0125,0.0216,0.0052,0.012,0.0166,0.0034,0.0102,0.034,0.0054,0.0168,0.004,0.049,0.0301,0.006,0.0045,0.0035,0.0042,0.0016,0.0242
